DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2004,22300,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2005,23050,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2006,23740,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2007,24420,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2008,24680,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2009,23550,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2010,23460,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2011,22970,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2012,21840,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2013,20450,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2014,20310,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2015,21170,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2016,22410,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2017,23480,
ESTAT:SDG_08_10(1.0),19/12/24 11:00:00,Annual,"Chain linked volumes (2010), euro per capita",Gross domestic product at market prices,Cyprus,2018,24650,
